from,to,category,category_A,NameSpace_A,ID_A,Name_A,category_B,NameSpace_B,ID_B,Name_B,PubMed,Source,Data_Source_Relationship
MeSH:D000855,GeneID:2693,Disease-Protein,Disease,MeSH,D000855,Anorexia,Protein,GeneID,2693,GHSR,,TTD,
MeSH:D000856,GeneID:181,Disease-Protein,Disease,MeSH,D000856,Anorexia Nervosa,Protein,GeneID,181,AGRP,,TTD,
MeSH:D000856,GeneID:2693,Disease-Protein,Disease,MeSH,D000856,Anorexia Nervosa,Protein,GeneID,2693,GHSR,,TTD,
MeSH:D000856,GeneID:4987,Disease-Protein,Disease,MeSH,D000856,Anorexia Nervosa,Protein,GeneID,4987,OPRL1,,TTD,
MeSH:D000856,GeneID:51738,Disease-Protein,Disease,MeSH,D000856,Anorexia Nervosa,Protein,GeneID,51738,GHRL,,TTD,
MeSH:D001007,GeneID:1394,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,1394,CRHR1,,TTD,
MeSH:D001007,GeneID:2847,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,2847,MCHR1,,TTD,
MeSH:D001007,GeneID:2912,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,2912,GRM2,,TTD,
MeSH:D001007,GeneID:2913,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,2913,GRM3,,TTD,
MeSH:D001007,GeneID:2915,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,2915,GRM5,,TTD,
MeSH:D001007,GeneID:3269,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,3269,HRH1,,TTD,
MeSH:D001007,GeneID:3350,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,3350,HTR1A,,TTD,
MeSH:D001007,GeneID:553,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,553,AVPR1B,,TTD,
MeSH:D001007,GeneID:6869,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,6869,TACR1,,TTD,
MeSH:D001007,GeneID:706,Disease-Protein,Disease,MeSH,D001007,Anxiety,Protein,GeneID,706,TSPO,,TTD,
MeSH:D001008,GeneID:1394,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,1394,CRHR1,,TTD,
MeSH:D001008,GeneID:153,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,153,ADRB1,,TTD,
MeSH:D001008,GeneID:154,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,154,ADRB2,,TTD,
MeSH:D001008,GeneID:1813,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,1813,DRD2,,TTD,
MeSH:D001008,GeneID:2166,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2166,FAAH,,TTD,
MeSH:D001008,GeneID:2554,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2554,GABRA1,,TTD,
MeSH:D001008,GeneID:2555,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2555,GABRA2,,TTD,
MeSH:D001008,GeneID:2556,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2556,GABRA3,,TTD,
MeSH:D001008,GeneID:2912,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2912,GRM2,,TTD,
MeSH:D001008,GeneID:2915,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,2915,GRM5,,TTD,
MeSH:D001008,GeneID:3269,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,3269,HRH1,,TTD,
MeSH:D001008,GeneID:3350,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,3350,HTR1A,,TTD,
MeSH:D001008,GeneID:3351,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,3351,HTR1B,,TTD,
MeSH:D001008,GeneID:3356,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,3356,HTR2A,,TTD,
MeSH:D001008,GeneID:3357,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,3357,HTR2B,,TTD,
MeSH:D001008,GeneID:4886,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,4886,NPY1R,,TTD,
MeSH:D001008,GeneID:4987,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,4987,OPRL1,,TTD,
MeSH:D001008,GeneID:51083,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,51083,GAL,,TTD,
MeSH:D001008,GeneID:5581,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,5581,PRKCE,,TTD,
MeSH:D001008,GeneID:586,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,586,BCAT1,,TTD,
MeSH:D001008,GeneID:587,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,587,BCAT2,,TTD,
MeSH:D001008,GeneID:6865,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,6865,TACR2,,TTD,
MeSH:D001008,GeneID:6869,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,6869,TACR1,,TTD,
MeSH:D001008,GeneID:7201,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,7201,TRHR,,TTD,
MeSH:D001008,GeneID:8856,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,8856,NR1I2,,TTD,
MeSH:D001008,GeneID:887,Disease-Protein,Disease,MeSH,D001008,Anxiety Disorders,Protein,GeneID,887,CCKBR,,TTD,
MeSH:D001049,GeneID:136,Disease-Protein,Disease,MeSH,D001049,Apnea,Protein,GeneID,136,ADORA2B,,TTD,
MeSH:D001068,GeneID:1395,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,1395,CRHR2,,TTD,
MeSH:D001068,GeneID:155,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,155,ADRB3,,TTD,
MeSH:D001068,GeneID:2690,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,2690,GHR,,TTD,
MeSH:D001068,GeneID:2862,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,2862,MLNR,,TTD,
MeSH:D001068,GeneID:4886,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,4886,NPY1R,,TTD,
MeSH:D001068,GeneID:4889,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,4889,NPY5R,,TTD,
MeSH:D001068,GeneID:7174,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,7174,TPP2,,TTD,
MeSH:D001068,GeneID:8484,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,8484,GALR3,,TTD,
MeSH:D001068,GeneID:8811,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,8811,GALR2,,TTD,
MeSH:D001068,GeneID:886,Disease-Protein,Disease,MeSH,D001068,Eating Disorders,Protein,GeneID,886,CCKAR,,TTD,
MeSH:D001145,GeneID:134,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,134,ADORA1,,TTD,
MeSH:D001145,GeneID:153,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,153,ADRB1,,TTD,
MeSH:D001145,GeneID:154,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,154,ADRB2,,TTD,
MeSH:D001145,GeneID:155,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,155,ADRB3,,TTD,
MeSH:D001145,GeneID:3360,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,3360,HTR4,,TTD,
MeSH:D001145,GeneID:3757,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,3757,KCNH2,,TTD,
MeSH:D001145,GeneID:3766,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,3766,KCNJ10,,TTD,
MeSH:D001145,GeneID:3784,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,3784,KCNQ1,,TTD,
MeSH:D001145,GeneID:6331,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,6331,SCN5A,,TTD,
MeSH:D001145,GeneID:8647,Disease-Protein,Disease,MeSH,D001145,"Arrhythmias, Cardiac",Protein,GeneID,8647,ABCB11,,TTD,
MeSH:D001168,GeneID:240,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,240,ALOX5,,TTD,
MeSH:D001168,GeneID:3606,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,3606,IL18,,TTD,
MeSH:D001168,GeneID:6279,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,6279,S100A8,,TTD,
MeSH:D001168,GeneID:6280,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,6280,S100A9,,TTD,
MeSH:D001168,GeneID:6283,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,6283,S100A12,,TTD,
MeSH:D001168,GeneID:7296,Disease-Protein,Disease,MeSH,D001168,Arthritis,Protein,GeneID,7296,TXNRD1,,TTD,
MeSH:D001172,GeneID:10673,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,10673,TNFSF13B,,TTD,
MeSH:D001172,GeneID:1147,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1147,CHUK,,TTD,
MeSH:D001172,GeneID:1230,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1230,CCR1,,TTD,
MeSH:D001172,GeneID:1234,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1234,CCR5,,TTD,
MeSH:D001172,GeneID:1241,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1241,LTB4R,,TTD,
MeSH:D001172,GeneID:140,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,140,ADORA3,,TTD,
MeSH:D001172,GeneID:1432,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1432,MAPK14,,TTD,
MeSH:D001172,GeneID:1438,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1438,CSF2RA,,TTD,
MeSH:D001172,GeneID:1513,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1513,CTSK,,TTD,
MeSH:D001172,GeneID:1723,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,1723,DHODH,,TTD,
MeSH:D001172,GeneID:2150,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,2150,F2RL1,,TTD,
MeSH:D001172,GeneID:2247,Disease-Protein,Disease,MeSH,D001172,"Arthritis, Rheumatoid",Protein,GeneID,2247,FGF2,,TTD,
