XID,category,NameSpace,ID,Name
MeSH:D001007,Disease,MeSH,D001007,Anxiety
MeSH:D001008,Disease,MeSH,D001008,Anxiety Disorders
MeSH:D001049,Disease,MeSH,D001049,Apnea
MeSH:D001064,Disease,MeSH,D001064,Appendicitis
MeSH:D001068,Disease,MeSH,D001068,Eating Disorders
MeSH:D001145,Disease,MeSH,D001145,"Arrhythmias, Cardiac"
MeSH:D001168,Disease,MeSH,D001168,Arthritis
MeSH:D001172,Disease,MeSH,D001172,"Arthritis, Rheumatoid"
MeSH:D001201,Disease,MeSH,D001201,Ascites
MeSH:D001228,Disease,MeSH,D001228,Aspergillosis
MeSH:D001249,Disease,MeSH,D001249,Asthma
MeSH:D001250,Disease,MeSH,D001250,"Asthma, Exercise-Induced"
MeSH:D001254,Disease,MeSH,D001254,Astrocytoma
MeSH:D001260,Disease,MeSH,D001260,Ataxia Telangiectasia
MeSH:D001281,Disease,MeSH,D001281,Atrial Fibrillation
MeSH:D001282,Disease,MeSH,D001282,Atrial Flutter
MeSH:D001289,Disease,MeSH,D001289,Attention Deficit Disorder with Hyperactivity
MeSH:D001321,Disease,MeSH,D001321,Autistic Disorder
MeSH:D001327,Disease,MeSH,D001327,Autoimmune Diseases
MeSH:D001416,Disease,MeSH,D001416,Back Pain
MeSH:D001424,Disease,MeSH,D001424,Bacterial Infections
MeSH:D001471,Disease,MeSH,D001471,Barrett Esophagus
MeSH:D001523,Disease,MeSH,D001523,Mental Disorders
MeSH:D001528,Disease,MeSH,D001528,Behcet Syndrome
MeSH:D001661,Disease,MeSH,D001661,Biliary Tract Neoplasms
MeSH:D001714,Disease,MeSH,D001714,Bipolar Disorder
MeSH:D001745,Disease,MeSH,D001745,Urinary Bladder Diseases
MeSH:D001749,Disease,MeSH,D001749,Urinary Bladder Neoplasms
MeSH:D001750,Disease,MeSH,D001750,"Urinary Bladder, Neurogenic"
MeSH:D001764,Disease,MeSH,D001764,Blepharospasm
MeSH:D001778,Disease,MeSH,D001778,Blood Coagulation Disorders
MeSH:D001794,Disease,MeSH,D001794,Blood Pressure
MeSH:D001835,Disease,MeSH,D001835,Body Weight
MeSH:D001847,Disease,MeSH,D001847,Bone Diseases
MeSH:D001883,Disease,MeSH,D001883,Borderline Personality Disorder
MeSH:D001919,Disease,MeSH,D001919,Bradycardia
MeSH:D001929,Disease,MeSH,D001929,Brain Edema
MeSH:D001930,Disease,MeSH,D001930,Brain Injuries
MeSH:D001932,Disease,MeSH,D001932,Brain Neoplasms
MeSH:D001943,Disease,MeSH,D001943,Breast Neoplasms
MeSH:D001948,Disease,MeSH,D001948,Brenner Tumor
MeSH:D001984,Disease,MeSH,D001984,Bronchial Neoplasms
MeSH:D001986,Disease,MeSH,D001986,Bronchial Spasm
MeSH:D001987,Disease,MeSH,D001987,Bronchiectasis
MeSH:D001988,Disease,MeSH,D001988,Bronchiolitis
MeSH:D001989,Disease,MeSH,D001989,Bronchiolitis Obliterans
MeSH:D001997,Disease,MeSH,D001997,Bronchopulmonary Dysplasia
MeSH:D002056,Disease,MeSH,D002056,Burns
MeSH:D002100,Disease,MeSH,D002100,Cachexia
MeSH:D002113,Disease,MeSH,D002113,"Calcification, Physiologic"
MeSH:D002114,Disease,MeSH,D002114,Calcinosis
MeSH:D002177,Disease,MeSH,D002177,Candidiasis
MeSH:D002180,Disease,MeSH,D002180,"Candidiasis, Oral"
MeSH:D002181,Disease,MeSH,D002181,"Candidiasis, Vulvovaginal"
MeSH:D002189,Disease,MeSH,D002189,Marijuana Abuse
MeSH:D002276,Disease,MeSH,D002276,Carcinoid Tumor
MeSH:D002277,Disease,MeSH,D002277,Carcinoma
MeSH:D002278,Disease,MeSH,D002278,Carcinoma in Situ
MeSH:D002289,Disease,MeSH,D002289,"Carcinoma, Non-Small-Cell Lung"
MeSH:D002292,Disease,MeSH,D002292,"Carcinoma, Renal Cell"
MeSH:D002294,Disease,MeSH,D002294,"Carcinoma, Squamous Cell"
MeSH:D002295,Disease,MeSH,D002295,"Carcinoma, Transitional Cell"
MeSH:D002311,Disease,MeSH,D002311,"Cardiomyopathy, Dilated"
MeSH:D002312,Disease,MeSH,D002312,"Cardiomyopathy, Hypertrophic"
MeSH:D002318,Disease,MeSH,D002318,Cardiovascular Diseases
MeSH:D002386,Disease,MeSH,D002386,Cataract
MeSH:D002446,Disease,MeSH,D002446,Celiac Disease
MeSH:D002481,Disease,MeSH,D002481,Cellulitis
MeSH:D002493,Disease,MeSH,D002493,Central Nervous System Diseases
MeSH:D002543,Disease,MeSH,D002543,Cerebral Hemorrhage
MeSH:D002544,Disease,MeSH,D002544,Cerebral Infarction
MeSH:D002545,Disease,MeSH,D002545,Brain Ischemia
MeSH:D002583,Disease,MeSH,D002583,Uterine Cervical Neoplasms
MeSH:D002780,Disease,MeSH,D002780,"Cholestasis, Intrahepatic"
MeSH:D002813,Disease,MeSH,D002813,Chondrosarcoma
MeSH:D002821,Disease,MeSH,D002821,Chorioamnionitis
MeSH:D002825,Disease,MeSH,D002825,Chorioretinitis
MeSH:D002836,Disease,MeSH,D002836,Hemophilia B
MeSH:D002908,Disease,MeSH,D002908,Chronic Disease
MeSH:D003027,Disease,MeSH,D003027,Cluster Headache
MeSH:D003073,Disease,MeSH,D003073,Cognitive Dissonance
MeSH:D003092,Disease,MeSH,D003092,Colitis
MeSH:D003093,Disease,MeSH,D003093,"Colitis, Ulcerative"
MeSH:D003110,Disease,MeSH,D003110,Colonic Neoplasms
MeSH:D003139,Disease,MeSH,D003139,Common Cold
MeSH:D003231,Disease,MeSH,D003231,Conjunctivitis
MeSH:D003248,Disease,MeSH,D003248,Constipation
MeSH:D003267,Disease,MeSH,D003267,Contraception
MeSH:D003274,Disease,MeSH,D003274,"Contraceptive Devices, Female"
MeSH:D003294,Disease,MeSH,D003294,"Seizures, Febrile"
MeSH:D003320,Disease,MeSH,D003320,Corneal Ulcer
MeSH:D003324,Disease,MeSH,D003324,Coronary Artery Disease
MeSH:D003327,Disease,MeSH,D003327,Coronary Disease
MeSH:D003329,Disease,MeSH,D003329,Coronary Vasospasm
MeSH:D003371,Disease,MeSH,D003371,Cough
MeSH:D003424,Disease,MeSH,D003424,Crohn Disease
MeSH:D003480,Disease,MeSH,D003480,Cushing Syndrome
MeSH:D003550,Disease,MeSH,D003550,Cystic Fibrosis
MeSH:D003557,Disease,MeSH,D003557,Phyllodes Tumor
MeSH:D003586,Disease,MeSH,D003586,Cytomegalovirus Infections
MeSH:D003693,Disease,MeSH,D003693,Delirium
MeSH:D003699,Disease,MeSH,D003699,Hepatitis D
MeSH:D003702,Disease,MeSH,D003702,Delusions
MeSH:D003704,Disease,MeSH,D003704,Dementia
MeSH:D003731,Disease,MeSH,D003731,Dental Caries
MeSH:D003773,Disease,MeSH,D003773,Dental Plaque
MeSH:D003863,Disease,MeSH,D003863,Depression
MeSH:D003865,Disease,MeSH,D003865,"Depressive Disorder, Major"
MeSH:D003866,Disease,MeSH,D003866,Depressive Disorder
MeSH:D003872,Disease,MeSH,D003872,Dermatitis
MeSH:D003874,Disease,MeSH,D003874,Dermatitis Herpetiformis
MeSH:D003876,Disease,MeSH,D003876,"Dermatitis, Atopic"
MeSH:D003877,Disease,MeSH,D003877,"Dermatitis, Contact"
MeSH:D003920,Disease,MeSH,D003920,Diabetes Mellitus
MeSH:D003922,Disease,MeSH,D003922,"Diabetes Mellitus, Type 1"
MeSH:D003924,Disease,MeSH,D003924,"Diabetes Mellitus, Type 2"
MeSH:D003928,Disease,MeSH,D003928,Diabetic Nephropathies
MeSH:D003929,Disease,MeSH,D003929,Diabetic Neuropathies
MeSH:D003930,Disease,MeSH,D003930,Diabetic Retinopathy
MeSH:D003967,Disease,MeSH,D003967,Diarrhea
MeSH:D004211,Disease,MeSH,D004211,Disseminated Intravascular Coagulation
MeSH:D004374,Disease,MeSH,D004374,"Ductus Arteriosus, Patent"
MeSH:D004381,Disease,MeSH,D004381,Duodenal Ulcer
MeSH:D004412,Disease,MeSH,D004412,Dysmenorrhea
MeSH:D004415,Disease,MeSH,D004415,Dyspepsia
MeSH:D004485,Disease,MeSH,D004485,Eczema
MeSH:D004700,Disease,MeSH,D004700,Endocrine System Diseases
MeSH:D004714,Disease,MeSH,D004714,Endometrial Hyperplasia
MeSH:D004715,Disease,MeSH,D004715,Endometriosis
MeSH:D004716,Disease,MeSH,D004716,Endometritis
MeSH:D004820,Disease,MeSH,D004820,Epidermolysis Bullosa
MeSH:D004827,Disease,MeSH,D004827,Epilepsy
MeSH:D004938,Disease,MeSH,D004938,Esophageal Neoplasms
MeSH:D005128,Disease,MeSH,D005128,Eye Diseases
MeSH:D005199,Disease,MeSH,D005199,Fanconi Anemia
MeSH:D005215,Disease,MeSH,D005215,Fasting
MeSH:D005234,Disease,MeSH,D005234,Fatty Liver
MeSH:D005334,Disease,MeSH,D005334,Fever
MeSH:D005355,Disease,MeSH,D005355,Fibrosis
MeSH:D005356,Disease,MeSH,D005356,Fibromyalgia
MeSH:D005621,Disease,MeSH,D005621,Friedreich Ataxia
MeSH:D005764,Disease,MeSH,D005764,Gastroesophageal Reflux
MeSH:D005767,Disease,MeSH,D005767,Gastrointestinal Diseases
MeSH:D005776,Disease,MeSH,D005776,Gaucher Disease
MeSH:D005831,Disease,MeSH,D005831,"Genital Diseases, Female"
MeSH:D005833,Disease,MeSH,D005833,"Genital Neoplasms, Female"
MeSH:D005882,Disease,MeSH,D005882,Gingival Diseases
MeSH:D005891,Disease,MeSH,D005891,Gingivitis
MeSH:D005901,Disease,MeSH,D005901,Glaucoma
MeSH:D005902,Disease,MeSH,D005902,"Glaucoma, Open-Angle"
MeSH:D005909,Disease,MeSH,D005909,Glioblastoma
MeSH:D005910,Disease,MeSH,D005910,Glioma
MeSH:D005921,Disease,MeSH,D005921,Glomerulonephritis
MeSH:D005922,Disease,MeSH,D005922,"Glomerulonephritis, IGA"
MeSH:D006073,Disease,MeSH,D006073,Gout
MeSH:D006086,Disease,MeSH,D006086,Graft vs Host Disease
MeSH:D006255,Disease,MeSH,D006255,"Rhinitis, Allergic, Seasonal"
MeSH:D006258,Disease,MeSH,D006258,Head and Neck Neoplasms
MeSH:D006261,Disease,MeSH,D006261,Headache
MeSH:D006323,Disease,MeSH,D006323,Heart Arrest
MeSH:D006331,Disease,MeSH,D006331,Heart Diseases
MeSH:D006333,Disease,MeSH,D006333,Heart Failure
MeSH:D006339,Disease,MeSH,D006339,Heart Rate
MeSH:D006391,Disease,MeSH,D006391,Hemangioma
MeSH:D006402,Disease,MeSH,D006402,Hematologic Diseases
MeSH:D006432,Disease,MeSH,D006432,Hemochromatosis
MeSH:D006453,Disease,MeSH,D006453,Hemoglobinopathies
MeSH:D006457,Disease,MeSH,D006457,"Hemoglobinuria, Paroxysmal"
MeSH:D006467,Disease,MeSH,D006467,Hemophilia A
MeSH:D006470,Disease,MeSH,D006470,Hemorrhage
MeSH:D006473,Disease,MeSH,D006473,Postpartum Hemorrhage
MeSH:D006501,Disease,MeSH,D006501,Hepatic Encephalopathy
MeSH:D006505,Disease,MeSH,D006505,Hepatitis
MeSH:D006509,Disease,MeSH,D006509,Hepatitis B
MeSH:D006515,Disease,MeSH,D006515,Hepatitis B virus
MeSH:D006526,Disease,MeSH,D006526,Hepatitis C
MeSH:D006528,Disease,MeSH,D006528,"Carcinoma, Hepatocellular"
MeSH:D006646,Disease,MeSH,D006646,"Histiocytosis, Langerhans-Cell"
MeSH:D006678,Disease,MeSH,D006678,HIV
MeSH:D006689,Disease,MeSH,D006689,Hodgkin Disease
MeSH:D006816,Disease,MeSH,D006816,Huntington Disease
MeSH:D006934,Disease,MeSH,D006934,Hypercalcemia
MeSH:D006937,Disease,MeSH,D006937,Hypercholesterolemia
MeSH:D006943,Disease,MeSH,D006943,Hyperglycemia
MeSH:D006945,Disease,MeSH,D006945,Hyperhidrosis
MeSH:D006947,Disease,MeSH,D006947,Hyperkalemia
MeSH:D006949,Disease,MeSH,D006949,Hyperlipidemias
MeSH:D006951,Disease,MeSH,D006951,Hyperlipoproteinemias
MeSH:D006959,Disease,MeSH,D006959,Hyperoxaluria
MeSH:D006961,Disease,MeSH,D006961,Hyperparathyroidism
MeSH:D006966,Disease,MeSH,D006966,Hyperprolactinemia
MeSH:D006967,Disease,MeSH,D006967,Hypersensitivity
MeSH:D006973,Disease,MeSH,D006973,Hypertension
MeSH:D006976,Disease,MeSH,D006976,"Hypertension, Pulmonary"
MeSH:D006980,Disease,MeSH,D006980,Hyperthyroidism
MeSH:D006996,Disease,MeSH,D006996,Hypocalcemia
MeSH:D007006,Disease,MeSH,D007006,Hypogonadism
MeSH:D007008,Disease,MeSH,D007008,Hypokalemia
MeSH:D007011,Disease,MeSH,D007011,Hypoparathyroidism
MeSH:D007018,Disease,MeSH,D007018,Hypopituitarism
MeSH:D007022,Disease,MeSH,D007022,Hypotension
MeSH:D007024,Disease,MeSH,D007024,"Hypotension, Orthostatic"
MeSH:D007035,Disease,MeSH,D007035,Hypothermia
MeSH:D007037,Disease,MeSH,D007037,Hypothyroidism
MeSH:D007172,Disease,MeSH,D007172,Erectile Dysfunction
MeSH:D007239,Disease,MeSH,D007239,Infection
MeSH:D007246,Disease,MeSH,D007246,Infertility
MeSH:D007249,Disease,MeSH,D007249,Inflammation
MeSH:D007251,Disease,MeSH,D007251,"Influenza, Human"
MeSH:D007319,Disease,MeSH,D007319,Sleep Initiation and Maintenance Disorders
MeSH:D007333,Disease,MeSH,D007333,Insulin Resistance
MeSH:D007383,Disease,MeSH,D007383,Intermittent Claudication
MeSH:D007565,Disease,MeSH,D007565,Jaundice
MeSH:D007640,Disease,MeSH,D007640,Keratoconus
MeSH:D007674,Disease,MeSH,D007674,Kidney Diseases
MeSH:D007676,Disease,MeSH,D007676,"Kidney Failure, Chronic"
MeSH:D007680,Disease,MeSH,D007680,Kidney Neoplasms
MeSH:D007751,Disease,MeSH,D007751,"Labor, Induced"
MeSH:D007752,Disease,MeSH,D007752,"Obstetric Labor, Premature"
MeSH:D007898,Disease,MeSH,D007898,"Leishmaniasis, Visceral"
MeSH:D007918,Disease,MeSH,D007918,Leprosy
MeSH:D007922,Disease,MeSH,D007922,Leptospirosis
MeSH:D007938,Disease,MeSH,D007938,Leukemia
MeSH:D007951,Disease,MeSH,D007951,"Leukemia, Myeloid"
MeSH:D008059,Disease,MeSH,D008059,Mucopolysaccharidosis I
MeSH:D008067,Disease,MeSH,D008067,Lipoma
MeSH:D008103,Disease,MeSH,D008103,Liver Cirrhosis
MeSH:D008107,Disease,MeSH,D008107,Liver Diseases
MeSH:D008113,Disease,MeSH,D008113,Liver Neoplasms
MeSH:D008171,Disease,MeSH,D008171,Lung Diseases
MeSH:D008173,Disease,MeSH,D008173,"Lung Diseases, Obstructive"
MeSH:D008175,Disease,MeSH,D008175,Lung Neoplasms
MeSH:D008180,Disease,MeSH,D008180,"Lupus Erythematosus, Systemic"
MeSH:D008181,Disease,MeSH,D008181,Lupus Nephritis
MeSH:D008193,Disease,MeSH,D008193,Lyme Disease
MeSH:D008223,Disease,MeSH,D008223,Lymphoma
MeSH:D008224,Disease,MeSH,D008224,"Lymphoma, Follicular"
MeSH:D008228,Disease,MeSH,D008228,"Lymphoma, Non-Hodgkin"
MeSH:D008258,Disease,MeSH,D008258,Waldenstrom Macroglobulinemia
MeSH:D008268,Disease,MeSH,D008268,Macular Degeneration
MeSH:D008269,Disease,MeSH,D008269,Macular Edema
MeSH:D008288,Disease,MeSH,D008288,Malaria
MeSH:D008305,Disease,MeSH,D008305,Malignant Hyperthermia
MeSH:D008382,Disease,MeSH,D008382,Marfan Syndrome
MeSH:D008479,Disease,MeSH,D008479,Mediastinal Neoplasms
MeSH:D008527,Disease,MeSH,D008527,Medulloblastoma
MeSH:D008545,Disease,MeSH,D008545,Melanoma
MeSH:D008575,Disease,MeSH,D008575,Meniere Disease
MeSH:D008579,Disease,MeSH,D008579,Meningioma
MeSH:D008581,Disease,MeSH,D008581,Meningitis
MeSH:D008593,Disease,MeSH,D008593,Menopause
MeSH:D008595,Disease,MeSH,D008595,Menorrhagia
MeSH:D008654,Disease,MeSH,D008654,Mesothelioma
MeSH:D008659,Disease,MeSH,D008659,Metabolic Diseases
MeSH:D008881,Disease,MeSH,D008881,Migraine Disorders
MeSH:D009087,Disease,MeSH,D009087,Mucopolysaccharidosis VI
MeSH:D009101,Disease,MeSH,D009101,Multiple Myeloma
MeSH:D009103,Disease,MeSH,D009103,Multiple Sclerosis
MeSH:D009126,Disease,MeSH,D009126,Muscle Relaxation
MeSH:D009134,Disease,MeSH,D009134,"Muscular Atrophy, Spinal"
MeSH:D009136,Disease,MeSH,D009136,Muscular Dystrophies
MeSH:D009157,Disease,MeSH,D009157,Myasthenia Gravis
MeSH:D009181,Disease,MeSH,D009181,Mycoses
MeSH:D009190,Disease,MeSH,D009190,Myelodysplastic Syndromes
MeSH:D009203,Disease,MeSH,D009203,Myocardial Infarction
MeSH:D009220,Disease,MeSH,D009220,Myositis
MeSH:D009290,Disease,MeSH,D009290,Narcolepsy
MeSH:D009293,Disease,MeSH,D009293,Opioid-Related Disorders
MeSH:D009298,Disease,MeSH,D009298,Nasal Polyps
MeSH:D009303,Disease,MeSH,D009303,Nasopharyngeal Neoplasms
MeSH:D009325,Disease,MeSH,D009325,Nausea
MeSH:D009336,Disease,MeSH,D009336,Necrosis
MeSH:D009362,Disease,MeSH,D009362,Neoplasm Metastasis
MeSH:D009369,Disease,MeSH,D009369,Neoplasms
MeSH:D009373,Disease,MeSH,D009373,"Neoplasms, Germ Cell and Embryonal"
MeSH:D009396,Disease,MeSH,D009396,Wilms Tumor
MeSH:D009402,Disease,MeSH,D009402,"Nephrosis, Lipoid"
MeSH:D009404,Disease,MeSH,D009404,Nephrotic Syndrome
MeSH:D009437,Disease,MeSH,D009437,Neuralgia
MeSH:D009447,Disease,MeSH,D009447,Neuroblastoma
MeSH:D009503,Disease,MeSH,D009503,Neutropenia
MeSH:D009748,Disease,MeSH,D009748,Nutrition Disorders
MeSH:D009755,Disease,MeSH,D009755,Night Blindness
MeSH:D009759,Disease,MeSH,D009759,"Nystagmus, Pathologic"
MeSH:D009765,Disease,MeSH,D009765,Obesity
MeSH:D009771,Disease,MeSH,D009771,Obsessive-Compulsive Disorder
MeSH:D009798,Disease,MeSH,D009798,Ocular Hypertension
MeSH:D009837,Disease,MeSH,D009837,Oligodendroglioma
MeSH:D010003,Disease,MeSH,D010003,Osteoarthritis
MeSH:D010013,Disease,MeSH,D010013,Osteogenesis Imperfecta
MeSH:D010014,Disease,MeSH,D010014,Osteolysis
MeSH:D010019,Disease,MeSH,D010019,Osteomyelitis
MeSH:D010024,Disease,MeSH,D010024,Osteoporosis
MeSH:D010033,Disease,MeSH,D010033,Otitis Media
MeSH:D010051,Disease,MeSH,D010051,Ovarian Neoplasms
MeSH:D010062,Disease,MeSH,D010062,Ovulation Induction
MeSH:D010144,Disease,MeSH,D010144,"Paget's Disease, Mammary"
MeSH:D010146,Disease,MeSH,D010146,Pain
MeSH:D010149,Disease,MeSH,D010149,"Pain, Postoperative"
MeSH:D010182,Disease,MeSH,D010182,Pancreatic Diseases
MeSH:D010190,Disease,MeSH,D010190,Pancreatic Neoplasms
MeSH:D010195,Disease,MeSH,D010195,Pancreatitis
MeSH:D010267,Disease,MeSH,D010267,Parapsoriasis
MeSH:D010272,Disease,MeSH,D010272,Parasitic Diseases
MeSH:D010300,Disease,MeSH,D010300,Parkinson Disease
MeSH:D010392,Disease,MeSH,D010392,Pemphigus
MeSH:D010437,Disease,MeSH,D010437,Peptic Ulcer
MeSH:D010518,Disease,MeSH,D010518,Periodontitis
MeSH:D010523,Disease,MeSH,D010523,Peripheral Nervous System Diseases
MeSH:D010524,Disease,MeSH,D010524,Peripheral Nervous System Neoplasms
MeSH:D010534,Disease,MeSH,D010534,Peritoneal Neoplasms
MeSH:D010538,Disease,MeSH,D010538,Peritonitis
MeSH:D010580,Disease,MeSH,D010580,Peutz-Jeghers Syndrome
MeSH:D010612,Disease,MeSH,D010612,Pharyngitis
MeSH:D010673,Disease,MeSH,D010673,Pheochromocytoma
MeSH:D010698,Disease,MeSH,D010698,Phobic Disorders
MeSH:D010900,Disease,MeSH,D010900,Pituitary Diseases
MeSH:D010973,Disease,MeSH,D010973,Platelet Adhesiveness
MeSH:D010974,Disease,MeSH,D010974,Platelet Aggregation
MeSH:D011014,Disease,MeSH,D011014,Pneumonia
MeSH:D011015,Disease,MeSH,D011015,"Pneumonia, Aspiration"
MeSH:D011020,Disease,MeSH,D011020,"Pneumonia, Pneumocystis"
MeSH:D011041,Disease,MeSH,D011041,Poisoning
MeSH:D011085,Disease,MeSH,D011085,Polycystic Ovary Syndrome
MeSH:D011087,Disease,MeSH,D011087,Polycythemia Vera
MeSH:D011125,Disease,MeSH,D011125,Adenomatous Polyposis Coli
MeSH:D011183,Disease,MeSH,D011183,Postoperative Complications
MeSH:D011218,Disease,MeSH,D011218,Prader-Willi Syndrome
MeSH:D011236,Disease,MeSH,D011236,Prediabetic State
MeSH:D011247,Disease,MeSH,D011247,Pregnancy
MeSH:D011293,Disease,MeSH,D011293,Premenstrual Syndrome
MeSH:D011469,Disease,MeSH,D011469,Prostatic Diseases
MeSH:D011470,Disease,MeSH,D011470,Prostatic Hyperplasia
MeSH:D011471,Disease,MeSH,D011471,Prostatic Neoplasms
MeSH:D011472,Disease,MeSH,D011472,Prostatitis
MeSH:D011507,Disease,MeSH,D011507,Proteinuria
MeSH:D011537,Disease,MeSH,D011537,Pruritus
MeSH:D011565,Disease,MeSH,D011565,Psoriasis
MeSH:D011595,Disease,MeSH,D011595,Psychomotor Agitation
MeSH:D011605,Disease,MeSH,D011605,"Psychoses, Substance-Induced"
MeSH:D011618,Disease,MeSH,D011618,Psychotic Disorders
MeSH:D011655,Disease,MeSH,D011655,Pulmonary Embolism
MeSH:D011658,Disease,MeSH,D011658,Pulmonary Fibrosis
MeSH:D011696,Disease,MeSH,D011696,"Purpura, Thrombocytopenic"
MeSH:D011832,Disease,MeSH,D011832,Radiation Injuries
MeSH:D011928,Disease,MeSH,D011928,Raynaud Disease
MeSH:D012004,Disease,MeSH,D012004,Rectal Neoplasms
MeSH:D012141,Disease,MeSH,D012141,Respiratory Tract Infections
MeSH:D012148,Disease,MeSH,D012148,Restless Legs Syndrome
MeSH:D012175,Disease,MeSH,D012175,Retinoblastoma
MeSH:D012208,Disease,MeSH,D012208,Rhabdomyosarcoma
MeSH:D012220,Disease,MeSH,D012220,Rhinitis
MeSH:D012221,Disease,MeSH,D012221,"Rhinitis, Allergic, Perennial"
MeSH:D012393,Disease,MeSH,D012393,Rosacea
MeSH:D012509,Disease,MeSH,D012509,Sarcoma
MeSH:D012514,Disease,MeSH,D012514,"Sarcoma, Kaposi"
MeSH:D012516,Disease,MeSH,D012516,Osteosarcoma
MeSH:D012552,Disease,MeSH,D012552,Schistosomiasis
MeSH:D012559,Disease,MeSH,D012559,Schizophrenia
MeSH:D012595,Disease,MeSH,D012595,"Scleroderma, Systemic"
MeSH:D012600,Disease,MeSH,D012600,Scoliosis
MeSH:D012640,Disease,MeSH,D012640,Seizures
MeSH:D012735,Disease,MeSH,D012735,"Sexual Dysfunction, Physiological"
MeSH:D012772,Disease,MeSH,D012772,"Shock, Septic"
MeSH:D012791,Disease,MeSH,D012791,Shy-Drager Syndrome
MeSH:D012852,Disease,MeSH,D012852,Sinusitis
MeSH:D012859,Disease,MeSH,D012859,Sjogren's Syndrome
MeSH:D012871,Disease,MeSH,D012871,Skin Diseases
MeSH:D012874,Disease,MeSH,D012874,"Skin Diseases, Infectious"
MeSH:D012878,Disease,MeSH,D012878,Skin Neoplasms
MeSH:D012893,Disease,MeSH,D012893,Sleep Disorders
MeSH:D012907,Disease,MeSH,D012907,Smoking
MeSH:D012983,Disease,MeSH,D012983,Soft Tissue Neoplasms
MeSH:D013035,Disease,MeSH,D013035,Spasm
MeSH:D013119,Disease,MeSH,D013119,Spinal Cord Injuries
MeSH:D013167,Disease,MeSH,D013167,"Spondylitis, Ankylosing"
MeSH:D013203,Disease,MeSH,D013203,Staphylococcal Infections
MeSH:D013226,Disease,MeSH,D013226,Status Epilepticus
MeSH:D013272,Disease,MeSH,D013272,Stomach Diseases
MeSH:D013274,Disease,MeSH,D013274,Stomach Neoplasms
MeSH:D013276,Disease,MeSH,D013276,Stomach Ulcer
MeSH:D013285,Disease,MeSH,D013285,Strabismus
MeSH:D013296,Disease,MeSH,D013296,Streptococcus pneumoniae
MeSH:D013313,Disease,MeSH,D013313,"Stress Disorders, Post-Traumatic"
MeSH:D013585,Disease,MeSH,D013585,Synovitis
MeSH:D013610,Disease,MeSH,D013610,Tachycardia
MeSH:D013614,Disease,MeSH,D013614,"Tachycardia, Paroxysmal"
MeSH:D013617,Disease,MeSH,D013617,"Tachycardia, Supraventricular"
MeSH:D013700,Disease,MeSH,D013700,Giant Cell Arteritis
MeSH:D013717,Disease,MeSH,D013717,Tenosynovitis
MeSH:D013736,Disease,MeSH,D013736,Testicular Neoplasms
MeSH:D013789,Disease,MeSH,D013789,Thalassemia
MeSH:D013832,Disease,MeSH,D013832,Thiamine Deficiency
MeSH:D013899,Disease,MeSH,D013899,Thoracic Neoplasms
MeSH:D013920,Disease,MeSH,D013920,"Thrombocythemia, Essential"
MeSH:D013921,Disease,MeSH,D013921,Thrombocytopenia
MeSH:D013923,Disease,MeSH,D013923,Thromboembolism
